epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02412,0.79661,3.94428,0.42956,0.73449,1.26382,0.97643,1,0.995,0.94586,0.81369,0.83333,0.70042,0.54162,0.37237,1.83608,0.17147,0.42595,0.97005,0.0001,0.0001,0.0001
2,12.6438,1.02296,4.56933,0.33351,0.89364,1.40804,0.97902,1,0.995,0.90695,0.81585,0.83333,0.69759,0.50529,0.54003,2.06249,0.15929,0.51276,1.06289,0.000215644,0.000215644,0.000215644
3,18.2364,0.9551,4.23056,0.3288,0.80128,1.43119,0.98606,1,0.995,0.87723,0.82172,0.83333,0.6962,0.48957,0.52671,2.10006,0.11951,0.5751,1.05181,0.000326536,0.000326536,0.000326536
4,24.0784,1.08774,3.78923,0.33418,0.96527,1.4991,0.99133,1,0.995,0.88771,0.82554,0.83333,0.69606,0.39152,0.58543,2.74497,0.12003,0.84594,1.17332,0.000432676,0.000432676,0.000432676
5,29.783,1.04772,4.1708,0.34854,0.87489,1.5955,0.98779,1,0.995,0.87757,0.82205,0.83333,0.69606,0.36628,0.641,2.89095,0.09775,0.81262,1.19035,0.000534064,0.000534064,0.000534064
6,35.3357,0.90831,4.25435,0.2876,0.76114,1.3241,0.98899,1,0.995,0.79642,0.82397,0.83333,0.69611,0.31137,0.66719,2.88941,0.09088,0.73996,1.25405,0.0006307,0.0006307,0.0006307
7,40.9792,1.01001,4.65901,0.35974,0.8449,1.35421,0.98993,1,0.995,0.81325,0.82476,0.83333,0.72383,0.35493,0.83867,2.98577,0.09585,0.69661,1.34332,0.000722584,0.000722584,0.000722584
8,46.4483,1.1103,4.13234,0.37648,0.92373,1.50781,0.98993,1,0.995,0.81325,0.82476,0.83333,0.72383,0.35493,0.83867,2.98577,0.09585,0.69661,1.34332,0.000809716,0.000809716,0.000809716
9,51.9557,1.01529,4.08158,0.33872,0.76917,1.38581,0.98625,1,0.995,0.72163,0.82163,0.83333,0.75251,0.38972,1.03327,3.28825,0.14005,0.69892,1.47389,0.000892096,0.000892096,0.000892096
10,57.3918,0.90625,3.99231,0.31924,0.77181,1.29596,0.98565,1,0.995,0.65567,0.77609,0.66667,0.6351,0.25456,1.19515,3.40218,0.19148,0.73779,1.5868,0.000969724,0.000969724,0.000969724
11,62.8822,0.98771,4.0854,0.31085,0.83843,1.39836,0.98565,1,0.995,0.65567,0.77609,0.66667,0.6351,0.25456,1.19515,3.40218,0.19148,0.73779,1.5868,0.0010426,0.0010426,0.0010426
